;Smiles;Output
81;COC(=O)c1ccc(C)c(NS(=O)(=O)c2ccc3c(c2)c(=O)sn3C)c1;2,6
82;COc1ccc(-c2coc3cc(O)cc(O)c3c2=O)cc1;3,5
83;CNCCCC12CCC(c3ccccc31)c1ccccc12;0,89
84;Oc1cc(-c2ccccc2)nc2ccnn12;1,3
85;O=CN1CC=C(c2c(F)cc(N3C[C@H](COc4ccon4)OC3=O)cc2F)CC1;2,01
86;C#CC(C)n1c(=O)c2c(-c3cncn3C)n(Cc3ccnc4ccc(Cl)cc34)nc2n(CC2CC2)c1=O;3,59
87;C[C@H]1CN(Cc2cc(Cl)ccc2OCC(=O)O)CCN1C(=O)Cc1ccccc1;0,18
88;COc1cc(Nc2nc(N[C@@H](C)c3ncc(F)cn3)ncc2Br)n[nH]1;2,6
89;Cc1nc(C)c(-c2ccc([C@H]3CC[C@H](CC(=O)O)CC3)c(F)c2)nc1C(N)=O;1,3
90;COc1ccnc(CCc2nc3c(C)ccnc3[nH]2)c1;2,1
91;Cc1cc(CCCOc2c(Cl)cc(C3=NCCO3)cc2Cl)on1;3,72
92;CN(C)C(=O)c1ccc(CN2CCc3cc4nc(N)sc4cc3CC2)cc1;1,72
93;COC(=O)[C@H]1[C@@H](O)CC[C@H]2CN3CCc4c([nH]c5ccccc45)[C@@H]3C[C@@H]21;1,65
94;CCN1CCN(c2ccc(Nc3cc(N(C)C(=O)Nc4c(Cl)c(OC)cc(OC)c4Cl)ncn3)cc2)CC1;3,7
95;CC(C)N(CCCNC(=O)Nc1ccc(C(C)(C)C)cc1)C[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O;2,2
96;C=CC(=O)Nc1cccc(CN2C(=O)N(c3c(Cl)c(OC)cc(OC)c3Cl)Cc3cnc(NCCCCN(CC)CC)nc32)c1;2,04
97;CCSc1c(Cc2ccccc2C(F)(F)F)sc2c1c(=O)n(C)c(=O)n2CC(C)C;4,49
98;COc1ccc(Cc2c(N)n[nH]c2N)cc1;0,2
99;CCN(CCN(C)C)S(=O)(=O)c1ccc(-c2cnc(N)c(C(=O)Nc3cccnc3)n2)cc1;2
100;Cc1cn([C@H]2CCCN(S(=O)(=O)c3ccc(O)c(Oc4ccccc4)c3)C2)c(=O)[nH]c1=O;1,49
101;c1ccc(N2CC3COc4ccccc4C3=N2)cc1;4,28
102;CNC(=C[N+](=O)[O-])NCCSCc1ccc(CN(C)C)o1;-0,95
103;CC(C)CC(c1ccncc1)n1[nH]c(=O)c2nc3cc(Cl)ccc3c(O)c2c1=O;1,64
104;FC(F)c1nc2ccccc2[nH]1;2,02
105;N#Cc1cccc(OC[C@@H](O)CNC2CCN(Cc3ccc(Cl)c(Cl)c3)CC2)c1;3,09
106;COc1cc2ncc(C(N)=O)c(Nc3ccc(F)cc3F)c2cc1N1CCN(C)CC1;2,18
107;O=C(Oc1ccccc1O)c1cccc2ccccc12;4,4
108;COc1ccccc1CNc1cc(C)ccn1;3,28
109;Nc1nc(Nc2cccc(Br)c2)c2nc[nH]c2n1;3,04
110;Nc1c2c(nc3ccc(Br)cc13)N(c1ccccc1)CC2;3,12
111;COc1cc(OC)c(S(=O)(=O)N(c2ccc(C)cc2)c2ccc(C)cc2)cc1NC(=O)CCC(=O)O;0,06
112;O=C(c1ccc(F)cc1)C(O)c1ccc(F)cc1;2,49
113;CC(C)C[C@H](N)c1nnc(S(=O)(=O)Cc2ccc(F)cc2)o1;1,11
114;Cc1ccc(NC(=O)c2cccc(OCC(C)C)c2)cc1C(=O)Nc1cccnc1;2,81
115;COc1ccc(OC)c(CNC(=O)c2cccnc2Oc2ccccc2)c1;3,52
116;NC1(c2ccc(-c3nc4ccn5c(=O)[nH]nc5c4cc3-c3ccccc3)cc2)CCC1;2,5
117;CC(c1ccccc1)C(Cc1nc2ccccc2[nH]1)c1nc2ccccc2[nH]1;4,48
118;O=C1COc2ccc(CNC3CCN(CCN4C(=O)COc5ccc(Cl)cc54)CC3)nc2N1;1,33
119;O=C(O)Cc1ccc(N2CCC(CN3CCC(Oc4ccc(Cl)c(Cl)c4)CC3)CC2)cc1;1,83
120;COc1cc2ncc(C(N)=O)c(Nc3cccc(Cl)c3F)c2cc1OC;3,6
121;CN(C(=O)C1CCC1)C1CCN(CCC(c2ccccc2)c2ccccc2)CC1;3,2
122;N=C(N)NC(=O)c1nc(Cl)c(NCc2ccccn2)nc1N;-0,56
123;N#Cc1nc(NC2CC3CCC2C3)c(N)c(N2CCOCC2)n1;3,53
124;CCN(C(=O)NCc1c(F)cccc1F)C1CCN(CCC(c2ccccc2)c2ccccc2)CC1;4,3
125;NC1(C(=O)NCc2ccc(Cl)cc2)CCN(c2ncnc3[nH]ccc23)CC1;2,88
126;CN1CCN(C2=Nc3cc(Cl)ccc3Nc3ccccc32)CC1;3,08
127;Cc1ncc(-c2ccc([C@H]3CC[C@H](CC(=O)O)CC3)cc2)nc1C(N)=O;1
128;Cn1ncnc1COc1nn2c(-c3cc(F)ccc3F)nnc2cc1C(C)(C)C;2,4
129;CNCC[C@H](Oc1ccc(C(F)(F)F)cc1)c1ccccc1;1,89
130;Cc1ccc(S(=O)(=O)NC(=O)N2CCC(N3CCC(Oc4ccc(Cl)cc4Cl)CC3)CC2)cc1;1,52
131;O=c1ccoc2cc(OCc3ccccc3)ccc12;3,33
132;[O-][S+](c1ccccc1)c1ccc2nnnn2n1;0,79
133;O=[N+]([O-])c1ccc2c(c1)N(c1cccc[n+]1[O-])CC(C(F)F)(C(F)F)O2;3,2
134;CC(C)NCC(O)COc1ccc(COCCOC(C)C)cc1;0,1
135;Cc1ncc(C(N)=O)nc1-c1ccc([C@H]2CC[C@H](C(=O)O)CC2)cc1;0,22
136;Nc1nnc(CCSCCc2nnc(NC(=O)Cc3ccccc3)s2)s1;2
137;COc1cc(OC2CCN(C(C)=O)CC2)ccc1Nc1ncc(Cl)c(-c2cnc3ccccn23)n1;4
138;COc1ccc(-c2cc(=O)c3ccccc3[nH]2)cc1;2,71
139;COC1/C=C/OC2(C)Oc3c(C)c(O)c4c(c3C2=O)C(=O)C=C(NC(=O)/C(C)=C\C=C\C(C)C(O)C(C)C(O)C(C)C(OC(C)=O)C1C)C4=O;0,7
140;Cn1cc(C#N)cc1-c1c2c(=O)n(C)c(=O)n(CC3CC3)c2nn1Cc1ccnc2ccc(Cl)cc12;3,67
141;Cn1sc(NC(=O)c2cccc(Cl)c2)nc1=O;0,87
142;Cc1ccc(-c2nccn2C)cc1NC(=O)c1ccc(OCc2ccccn2)cc1;2,83
143;CC(=O)Nc1ccc(C(=O)Nc2ccccc2N)cc1;0,82
144;O=c1cc(N2CCOCC2)oc2cc(O)ccc12;1
145;Oc1nc(-c2ccc(C(F)(F)F)cc2)nc2c1CSCC2;3,07
146;O=C(COCc1cscn1)N1CCN(c2ccc(Cl)cc2Cl)CC1;3,07
147;O=c1c2ccc(O)cc2ncn1-c1ccc(O)cc1;1,6
148;O=c1[nH]c2c(O)ccc([C@@H](O)CNCCc3ccccc3CNCCc3ccccc3F)c2s1;1,58
149;O=C(CC12CC3CC(CC(C3)C1)C2)Nc1cccc2c(=O)n(C(CO)CO)ccc12;2,62
150;COc1ccc(-c2c(F)ccc3c(N)c(C(=O)NC4CC4)nnc23)c(OC)n1;3,37
151;Clc1ccccc1-c1cnn[nH]1;2,68
152;NC(=O)c1ccc(Oc2cccc3cccnc23)c([N+](=O)[O-])c1;1,7
153;NC(=O)Nc1cc(-c2cccc(O)c2)sc1C(N)=O;2,21
154;Nc1ccc(S(=O)(=O)Nc2nccs2)cc1;-0,37
155;COC(=O)c1nc2c(N[C@H](C)CO)nc(SCc3cccc(F)c3F)nc2[nH]c1=O;2,49
156;COc1cccc(NC(=O)Cn2cc(Oc3ncnc4cc(OC)c(OC)cc34)cn2)c1;3,11
157;CC1CCc2cc(F)cc3c(=O)c(C(=O)O)cn1c23;0,74
158;Cc1nc(Cl)c(Cl)n1Cc1sc2c(c1C(=O)N1CC[C@@H](O)C1)c(=O)n(C)c(=O)n2CC(C)C;1,61
159;N#Cc1cnc(N2CCN(C(=O)[C@@H]3CCCC[C@H]3C(=O)NC3(C#N)CC3)CC2)s1;1,2
160;Cc1ccc(NC(=N)N)cc1C;-1,34
161;O=C(NCC1CCCCC1)c1cc(-n2ncc(=O)[nH]c2=O)ccc1Cl;1,26
162;O=C(Oc1ccccc1)N1CCOCC1;1,3
163;CC(C)(C#N)c1cnc(N2CCN(C(=O)[C@@H]3CCCC[C@H]3C(=O)NC3(C#N)CC3)CC2)s1;1,9
164;FC(F)(F)c1nnc2ccc(N3CCCCC3)nn12;3
165;Cc1c(Sc2ccc(Cl)cc2)c2c(NS(C)(=O)=O)cccc2n1CC(=O)O;0,21
166;CCCNC(=O)CSc1ccc(S(=O)(=O)N2CCCC2)cn1;1,55
167;C[C@@H](Oc1cccc2ncnc(Nc3ccc4c(cnn4Cc4ccccn4)c3)c12)C(=O)N1CCOCC1;2,82
168;COc1ccc(Cn2cc3c(=O)n(C)c(=O)n(CC(C)C)c3c2)cc1;3,52
169;COc1cc2c(Nc3ccc(Cl)cc3F)ncnc2cc1OCCn1cncn1;3,2
170;CCN1CCC[C@H]1CNC(=O)c1c(O)c(Cl)cc(Cl)c1OC;1,09
171;CC(=O)Nc1nc(C)c(-c2cnc(F)c(NS(=O)(=O)c3sc(C)nc3C)c2)s1;0,55
172;Cc1ccc2c(c1)c(-c1ccnc3ccc(C(F)(F)F)cc13)c(C)n2CC(=O)O;1,78
173;CSc1ncccc1C(=O)Nc1nccs1;1,43
174;CCOc1ncc(C)c2c1[C@H](c1ccc(C#N)cc1OC)C(C(N)=O)=C(C)N2;2,51
175;Cc1nc2ccc(Cl)cn2c1-c1ccnc(N)n1;2,49
176;CC1CC(OC(=O)C(O)c2ccccc2)CC(C)(C)C1;2,31
177;C[C@@H](NC(=O)C1CCCCN1C)c1ccc(Nc2ncc3cc(-c4ccncc4)ccc3n2)cc1;3,34
178;Cc1cc(C)cc(-c2[nH]c3sc(C(C)(C)C(=O)N4C5CCC4CC5)cc3c2CCN2CCN(CC(=O)N(C)C)CC2)c1;4,13
179;CN[C@@H](C)C(=O)N[C@H](C(=O)N[C@H]1CCCN(CCc2ccc(F)cc2)C1)C(C)(C)C;3,12
180;NC1(c2ccc(-c3ncc4ccncc4c3-c3ccccc3)cc2)CCC1;2,2
181;CC(C)C(NC(=O)Cn1c(-c2ccccc2)ccc(NS(C)(=O)=O)c1=O)C(=O)C(F)(F)F;1,77
182;C[C@H]1CN(C(=O)c2ccc(C#N)cc2)[C@H](C)CN1C(=O)[C@@](C)(O)C(F)(F)F;1,5
183;CCOc1ccccc1-c1ccc(-c2nc3ccc(F)cc3c(N[C@H](C)C(=O)O)c2C#N)cc1;2,5
184;O=C(NCC12CC3CC(CC(C3)C1)C2)c1cc(CC2CCNCC2)ccc1Cl;1,49
185;CC[C@H](NC(=O)c1c(S(C)(=O)=O)c(-c2ccccc2)nc2ccccc12)c1ccccc1;3,17
186;O=C(Nc1ccc(F)cc1)c1cccnc1Oc1ccccc1;3,19
187;Cc1ccc(C(=O)C(C)CN2CCCCC2)cc1;1,65
188;Cc1nc(S(C)(=O)=O)ccc1Nc1ncnc(OC2CCN(C(=O)OC(C)C)CC2)c1C;2,8
189;Cc1ccccc1-c1c(C(=O)O)n(CCCOc2cccc3ccccc23)c2ccccc12;3,89
190;C[C@@H](NCc1ccccc1-c1ccc(CCNC[C@H](O)c2ccc(O)c3[nH]c(=O)sc23)cc1)c1ccccc1;2,28
191;Nc1nc(Nc2ccc(F)c(Cl)c2)c2nc[nH]c2n1;2,75
192;CCCSc1nc(N[C@@H]2C[C@H]2c2ccccc2)c2nnn([C@@H]3C[C@H](O)[C@@H](O)[C@H]3O)c2n1;3,97
193;CSc1ccc(N2C(N)=NC(N)=NC2(C)C)cc1;-0,84
194;Cc1ccc(-c2cccc([S@]3(=O)=NC(=O)[C@H](C)N3)c2)cc1;1,6
195;Nc1nc(N)nc(-c2cccc(C(F)(F)F)c2)n1;2,4
196;Cc1cccc(CN2CCN(C(c3ccccc3)c3ccc(Cl)cc3)CC2)c1;3,39
197;O=C(NS(=O)(=O)c1ccc(F)cc1)N1CCC(N2CCC(Oc3ccc(Cl)c(Cl)c3)CC2)CC1;1,79
198;O=C(O)COc1ccc(Cl)cc1CN1CCCN(S(=O)(=O)Cc2ccccc2)CC1;1,01
199;Clc1cccc(-n2nnnc2NCc2ccccc2Oc2ccccn2)c1Cl;3,62
200;CN1CCCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1;2,36
201;O=C(NCCc1ccccc1Cl)c1cc(-n2ncc(=O)[nH]c2=O)ccc1Cl;1,29
202;O=c1[nH]n(Cc2ccccn2)c(=O)c2c(=O)c3ccc(Cl)cc3[nH]c12;1,1
203;C[C@@H](NC(=O)[C@H]1CCCCN1)c1ccc(Nc2ncc3cc(-c4ccncc4)ccc3n2)cc1;2,15
204;CC(C)Cn1c(=O)n(C)c(=O)c2c(C(=O)N3CC[C@@H](O)C3)c(Cc3cccc4ncccc34)sc21;1,98
205;C[C@@H](C#N)NC(=O)[C@@H]1CCCC[C@H]1C(=O)N1CCc2[nH]c3ccc(F)cc3c2C1;3,5
206;CC(C)C(NC(=O)Cn1c(-c2ccccc2)ccc(NS(N)(=O)=O)c1=O)C(=O)C(F)(F)F;1,17
207;O=C(NCC1CCCCCC1)c1cc(-c2cccnc2N2CCC(C(=O)O)CC2)ccc1Cl;2,53
208;N=C(NCc1ccc(Cl)cc1)SCCCc1c[nH]cn1;1,13
209;Cc1ccc(-c2cccc(-c3nn[nH]n3)c2)cc1;1,3
210;Cc1ccc2c(n1)c(Sc1ccc(Cl)cc1)c(C)n2CC(=O)O;0,35
211;Cc1ccc(NC(=O)c2ccnc(N3CCOCC3)c2)cc1Nc1ccnc(N(C)C2CCN(C)CC2)n1;1,8
212;CCCCCC[C@H]1OC(=O)CNC(=O)[C@@H]([C@H](C)O)NC(=O)[C@H](CO)NC(=O)[C@H]([C@H](C)CC)NC(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H]1C;3,2
213;CN[C@@H](C)C(=O)N[C@H](C(=O)N[C@H]1CCN(C(=O)c2ccccc2)C1)C1CCCCC1;0,82
214;Cc1cnc(-c2ccc(C)c(NC(=O)c3ccc(OCc4ccccn4)cc3)c2)[nH]1;3,19
215;O=C(NCCSCc1ccccc1)c1ccccc1;3,3
216;O=C(O)[C@@H](Cc1ccccc1)N1CCC(CN2CCC(Oc3ccc(Cl)c(Cl)c3)CC2)CC1;2,5
217;CC(C)Cn1c(=O)n(C)c(=O)c2c(C(=O)N3CC[C@@H](O)C3)c(Cc3c[nH]c4ccccc34)sc21;2,35
218;Cc1cc(Nc2nc(N[C@@H](C)c3ccc(F)cn3)cnc2C)n[nH]1;1,73
219;c1ccc(-c2ccc(COc3ccc4c(c3)CCC(CCN3CCCCC3)C4)cc2)cc1;3,3
220;Nc1ccccc1NC(=O)c1ccc(C2CCN(Cc3ccc(C(=O)NC4CC4)cc3)CC2)cc1;2,31
221;CC(Cc1cccc(CNCCc2c(Cl)cccc2Cl)c1)NC[C@H](O)c1ccc(O)c2[nH]c(=O)sc12;2,41
222;OCC[C@]1(c2ccc(Cl)c(Cl)c2)CCCNC1;0,61
223;COc1ccccc1C(C#N)NC(=O)[C@@H]1CCCC[C@H]1C(=O)N1CCN(Cc2ccc(F)cc2)CC1;3,57
224;CN(C)c1nc(N[C@H]2CC[C@@H](NC(=O)c3ccc(F)c(F)c3)CC2)nc2ccccc12;3,13
225;CCCNC[C@@H](O)COc1ccccc1C(=O)CCc1ccccc1;1,56
226;O=c1[nH]n(C(c2ccncc2)C2CC2)c(=O)c2c(O)c3ccc(Cl)cc3nc12;0,7
227;Cc1cc(OC2CCN(CC3CCN([C@@](C)(Cc4ccc(F)cc4)C(=O)O)CC3)CC2)ccc1Cl;2,08
228;O=C(CCc1ccccc1)c1ccccc1;3,77
229;CCCCc1ncc(/C=C(\Cc2cccs2)C(=O)O)n1Cc1ccc(C(=O)O)cc1;-0,9
230;O=C(O)[C@H](Cc1ccccc1)N1CCC(CN2CCC(Oc3ccc(Cl)c(Cl)c3)CC2)CC1;2,5
231;C1CCC(C(CC2CCCCN2)C2CCCCC2)CC1;3,02
232;COc1cc(Nc2nccc(N(C)c3cc(CO)ccc3C)n2)cc(N2CCOCC2)c1;3,9
233;O=C(Nc1nc2c(=O)[nH]cnc2s1)c1ccccc1;1,94
234;CC[C@H](NC(=O)c1c([S+](C)[O-])c(-c2ccc(F)cc2)nc2ccccc12)c1ccccc1;3,72
235;Cc1cn([C@H]2CCCN(S(=O)(=O)c3ccc(O)c(Oc4cccc(C(F)(F)F)c4)c3)C2)c(=O)[nH]c1=O;2,27
236;COc1cccc([C@H](O)C2CCN(CCc3ccc(F)cc3)CC2)c1OC;1,7
237;COc1ccc2nc(N[C@H]3CCC[C@H](NCc4ccsc4)C3)ccc2c1;2,43
238;Cc1cc(C)c2c(n1)sc1c(N3CCN(C)CC3)ncnc12;3,2
239;CC(C)(C)OC(=O)N1CCN(c2ncc(OCc3ccc(S(C)(=O)=O)cc3)cn2)CC1;3,27
240;O=C(COc1ccccc1)N1CCOCC1;0,75
241;Cc1nnsc1C(=O)Nc1ccccc1;0,97
242;CC[C@H](C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H](O)C[C@@H](O)CC(=O)O)[C@H]21;1,07
243;Cc1cn([C@H]2CCCN(Cc3ccc(C(=O)O)c(Oc4cccc(C(F)(F)F)c4)c3)C2)c(=O)[nH]c1=O;-0,38
244;COc1cc(O)cc2occ(-c3ccc(O)cc3)c(=O)c12;2
245;O=C(C1CCCCC1)N1CC(=O)N2CCc3ccccc3C2C1;2,43
246;Cc1ccccc1-n1c(Cn2nc(-c3ccc(O)c(F)c3)c3c(N)ncnc32)nc2cccc(C)c2c1=O;3,55
247;Nc1nc(Nc2ccc3nc(-c4ccc(F)cc4)cc(N)c3c2)cc(-c2cccc(Cl)c2)n1;2,5
248;O=c1[nH]cnc2[nH]ncc12;-0,42
249;Cc1ccc(S(=O)(=O)Nc2c(C(=O)N[C@@H](C)C(C)(C)C)c(C)nn2C2CCOC2)cc1;0,78
250;O=c1ncn2nc(Sc3ccc(F)cc3F)ccc2c1-c1c(Cl)cccc1Cl;2,74
251;Cc1c(Sc2ccc(Cl)cc2)c2cc(Cl)ccc2n1C(C)C(=O)O;3,56
252;NC(=O)c1sc(-c2ccccc2)cc1N;2,33
253;Cc1ccc2c(c1)c(-c1ccnc3cc(Cl)ccc13)c(C)n2CC(=O)O;1,59
254;COc1ccc2ncc(F)c(CCN3CCC(NCc4cc5c(cn4)OCCO5)CC3)c2n1;1,46
255;CS(=O)(=O)c1ccc(-c2cnc(N)c(-c3ccc(C(F)(F)F)nc3)c2)cc1;2,4
256;O=C1CCOc2nc(CCc3ccccc3)ccc21;2,5
257;O=c1[nH]c2cc(Cl)ccc2o1;2,16
258;CC(C)C(=O)NCCNCC(O)COc1ccc(O)cc1;-0,15
259;NC1(c2ccc(-c3nn4cccc4cc3-c3ccccc3)cc2)CCC1;3,3
